"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 17 19:45:46 GMT 2024","Fri May 17 19:45:46 GMT 2024","122","Login form","Input text validation","tests.login.InputTextValidationTest","tests.login.InputTextValidationTest","emailField","emailField",""
"failed","Fri May 17 19:46:09 GMT 2024","Fri May 17 19:46:09 GMT 2024","243","Login form","Login","tests.login.LoginTest","tests.login.LoginTest","incorrectEmailFormat","incorrectEmailFormat","Attempting to log in using an incorrect email format"
"passed","Fri May 17 19:46:19 GMT 2024","Fri May 17 19:46:19 GMT 2024","226","Login form","Login","tests.login.LoginTest","tests.login.LoginTest","blankEmailField","blankEmailField","Attempting to log in without providing input for the ""Email Address"" field"
"passed","Fri May 17 19:45:55 GMT 2024","Fri May 17 19:45:56 GMT 2024","249","Login form","Login","tests.login.LoginTest","tests.login.LoginTest","incorrectEmailFormat","incorrectEmailFormat","Attempting to log in using an incorrect email format"
"passed","Fri May 17 19:46:38 GMT 2024","Fri May 17 19:46:54 GMT 2024","16509","Login form","Login","tests.login.LoginTest","tests.login.LoginTest","correct","correct","Logging in using correct credentials"
"passed","Fri May 17 19:45:51 GMT 2024","Fri May 17 19:45:51 GMT 2024","84","Login form","Input text validation","tests.login.InputTextValidationTest","tests.login.InputTextValidationTest","passwordField","passwordField","Verification of the ""Password"" field text input"
"passed","Fri May 17 19:46:28 GMT 2024","Fri May 17 19:46:29 GMT 2024","981","Login form","Login","tests.login.LoginTest","tests.login.LoginTest","incorrectPassword","incorrectPassword","Attempting to log in using an incorrect password"
"failed","Fri May 17 19:46:13 GMT 2024","Fri May 17 19:46:14 GMT 2024","1235","Login form","Login","tests.login.LoginTest","tests.login.LoginTest","incorrectEmailFormat","incorrectEmailFormat","Attempting to log in using an incorrect email format"
"passed","Fri May 17 19:46:00 GMT 2024","Fri May 17 19:46:00 GMT 2024","232","Login form","Login","tests.login.LoginTest","tests.login.LoginTest","incorrectEmailFormat","incorrectEmailFormat","Attempting to log in using an incorrect email format"
"passed","Fri May 17 19:46:33 GMT 2024","Fri May 17 19:46:34 GMT 2024","226","Login form","Login","tests.login.LoginTest","tests.login.LoginTest","blankPasswordField","blankPasswordField","Attempting to log in without providing input for the ""Password"" field"
"failed","Fri May 17 19:46:04 GMT 2024","Fri May 17 19:46:04 GMT 2024","239","Login form","Login","tests.login.LoginTest","tests.login.LoginTest","incorrectEmailFormat","incorrectEmailFormat","Attempting to log in using an incorrect email format"
"passed","Fri May 17 19:46:23 GMT 2024","Fri May 17 19:46:24 GMT 2024","931","Login form","Login","tests.login.LoginTest","tests.login.LoginTest","incorrectPassword","incorrectPassword","Attempting to log in using an incorrect password"
