"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri May 17 19:59:51 GMT 2024","Fri May 17 19:59:52 GMT 2024","1028","Login form","Login","tests.login.LoginTest","tests.login.LoginTest","incorrectPassword","incorrectPassword","Attempting to log in using an incorrect password"
"passed","Fri May 17 19:59:04 GMT 2024","Fri May 17 19:59:04 GMT 2024","181","Login form","Input text validation","tests.login.InputTextValidationTest","tests.login.InputTextValidationTest","emailField","emailField",""
"passed","Fri May 17 19:59:45 GMT 2024","Fri May 17 19:59:46 GMT 2024","1232","Login form","Login","tests.login.LoginTest","tests.login.LoginTest","incorrectPassword","incorrectPassword","Attempting to log in using an incorrect password"
"passed","Fri May 17 20:00:02 GMT 2024","Fri May 17 20:00:04 GMT 2024","2146","Login form","Login","tests.login.LoginTest","tests.login.LoginTest","correct","correct","Logging in using correct credentials"
"passed","Fri May 17 19:59:09 GMT 2024","Fri May 17 19:59:09 GMT 2024","120","Login form","Input text validation","tests.login.InputTextValidationTest","tests.login.InputTextValidationTest","passwordField","passwordField","Verification of the ""Password"" field text input"
"failed","Fri May 17 19:59:24 GMT 2024","Fri May 17 19:59:24 GMT 2024","253","Login form","Login","tests.login.LoginTest","tests.login.LoginTest","incorrectEmailFormat","incorrectEmailFormat","Attempting to log in using an incorrect email format"
"passed","Fri May 17 19:59:57 GMT 2024","Fri May 17 19:59:57 GMT 2024","223","Login form","Login","tests.login.LoginTest","tests.login.LoginTest","blankPasswordField","blankPasswordField","Attempting to log in without providing input for the ""Password"" field"
"failed","Fri May 17 19:59:29 GMT 2024","Fri May 17 19:59:29 GMT 2024","243","Login form","Login","tests.login.LoginTest","tests.login.LoginTest","incorrectEmailFormat","incorrectEmailFormat","Attempting to log in using an incorrect email format"
"failed","Fri May 17 19:59:34 GMT 2024","Fri May 17 19:59:35 GMT 2024","1335","Login form","Login","tests.login.LoginTest","tests.login.LoginTest","incorrectEmailFormat","incorrectEmailFormat","Attempting to log in using an incorrect email format"
"passed","Fri May 17 19:59:19 GMT 2024","Fri May 17 19:59:19 GMT 2024","240","Login form","Login","tests.login.LoginTest","tests.login.LoginTest","incorrectEmailFormat","incorrectEmailFormat","Attempting to log in using an incorrect email format"
"passed","Fri May 17 19:59:40 GMT 2024","Fri May 17 19:59:40 GMT 2024","255","Login form","Login","tests.login.LoginTest","tests.login.LoginTest","blankEmailField","blankEmailField","Attempting to log in without providing input for the ""Email Address"" field"
"passed","Fri May 17 19:59:14 GMT 2024","Fri May 17 19:59:15 GMT 2024","391","Login form","Login","tests.login.LoginTest","tests.login.LoginTest","incorrectEmailFormat","incorrectEmailFormat","Attempting to log in using an incorrect email format"
